,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend
1384,16.01.2011,Ein Frankfurt,Hannover,0,3,A,0,2,A,12,16,4,6,13,26,5,5,1,1,0,0,-672,-589,0,-2,2,0
1385,16.01.2011,Kaiserslautern,FC Koln,1,1,D,0,1,A,15,14,4,3,18,24,10,4,1,6,1,0,-247,-746,1,0,0,-1
1386,21.01.2011,Hamburg,Ein Frankfurt,1,0,H,0,0,D,9,6,4,1,13,15,6,4,0,0,0,0,-646,-681,0,0,0,-1
1387,22.01.2011,Bayern Munich,Kaiserslautern,5,1,H,1,0,H,19,13,9,6,8,11,6,5,0,3,0,0,-4665,-200,4,-1,1,-4
1388,22.01.2011,Dortmund,Stuttgart,1,1,D,1,0,H,18,7,7,3,9,8,8,6,0,2,0,0,-468,-649,1,0,1,0
1389,22.01.2011,FC Koln,Werder Bremen,3,0,H,2,0,H,11,3,5,1,11,25,7,3,3,2,0,0,-715,-680,2,0,0,-2
1390,22.01.2011,Freiburg,Nurnberg,1,1,D,1,0,H,6,11,2,2,21,13,4,5,0,1,0,0,-646,-698,1,-1,1,0
1391,22.01.2011,Hannover,Schalke 04,0,1,A,0,1,A,11,11,4,4,11,21,4,5,1,2,0,0,-600,-592,0,-1,0,0
1392,22.01.2011,Mainz,Wolfsburg,0,1,A,0,0,D,14,8,3,2,16,23,3,5,1,1,0,0,-641,-640,0,-1,0,0
1393,23.01.2011,Hoffenheim,St Pauli,2,2,D,1,0,H,10,14,4,5,25,16,4,4,1,1,0,0,-638,-235,1,-1,1,-2
1394,23.01.2011,M'gladbach,Leverkusen,1,3,A,0,2,A,16,8,6,4,19,15,3,1,1,1,0,0,-910,-563,0,-2,2,-1
1395,28.01.2011,Leverkusen,Hannover,2,0,H,2,0,H,11,9,6,3,18,12,5,3,0,0,0,0,-547,-615,2,0,0,-1
1396,29.01.2011,Kaiserslautern,Mainz,0,1,A,0,1,A,17,12,6,5,15,16,6,3,1,0,0,0,-219,-622,0,-2,0,0
1397,29.01.2011,Nurnberg,Hamburg,2,0,H,0,0,D,17,7,7,1,18,20,6,3,1,2,0,1,-677,-667,2,0,0,-1
1398,29.01.2011,Schalke 04,Hoffenheim,0,1,A,0,1,A,10,16,1,5,19,16,9,4,2,1,0,0,-604,-626,0,0,0,0
1399,29.01.2011,St Pauli,FC Koln,3,0,H,2,0,H,30,3,10,2,16,16,11,2,0,4,0,0,-233,-717,3,0,0,-2
1400,29.01.2011,Werder Bremen,Bayern Munich,1,3,A,0,0,D,9,17,4,6,21,18,7,4,2,2,1,0,-700,-4645,0,-2,2,-1
1401,29.01.2011,Wolfsburg,Dortmund,0,3,A,0,2,A,9,17,2,8,18,12,4,3,2,2,0,0,-645,-463,0,-2,2,0
1402,30.01.2011,Ein Frankfurt,M'gladbach,0,1,A,0,0,D,17,16,2,7,7,18,4,4,0,2,0,0,-697,-894,0,-1,0,0
1403,30.01.2011,Stuttgart,Freiburg,0,1,A,0,1,A,15,9,4,3,10,20,9,3,0,2,0,0,-659,-636,0,0,0,0
1404,04.02.2011,Dortmund,Schalke 04,0,0,D,0,0,D,21,6,9,2,13,19,1,2,2,3,0,0,-466,-600,0,0,0,0
1405,05.02.2011,FC Koln,Bayern Munich,3,2,H,0,2,A,17,12,6,4,19,17,5,7,0,2,0,0,-717,-4645,2,-1,2,-2
1406,05.02.2011,Hannover,Wolfsburg,1,0,H,1,0,H,10,12,4,3,18,16,4,4,1,3,0,0,-606,-654,0,0,0,-1
1407,05.02.2011,Hoffenheim,Kaiserslautern,3,2,H,2,0,H,17,24,8,7,17,24,4,7,1,2,1,0,-608,-237,2,-2,2,-2
1408,05.02.2011,Mainz,Werder Bremen,1,1,D,1,0,H,10,9,5,3,19,24,6,3,1,4,0,0,-625,-698,0,0,0,-1
1409,05.02.2011,M'gladbach,Stuttgart,2,3,A,2,0,H,12,9,5,3,19,14,5,3,1,2,1,0,-898,-655,1,-3,3,-1
1410,05.02.2011,Nurnberg,Leverkusen,1,0,H,0,0,D,9,11,3,0,25,19,3,2,1,3,1,0,-663,-561,1,0,0,0
1411,06.02.2011,Freiburg,Ein Frankfurt,0,0,D,0,0,D,12,12,0,3,14,21,5,6,0,2,0,0,-638,-695,0,0,0,0
1412,12.02.2011,Bayern Munich,Hoffenheim,4,0,H,2,0,H,17,14,11,4,5,17,8,3,0,4,0,0,-4699,-554,4,0,0,-3
1413,12.02.2011,Ein Frankfurt,Leverkusen,0,3,A,0,2,A,12,12,3,6,25,15,1,6,3,1,0,0,-702,-554,0,-3,2,0
1414,12.02.2011,Kaiserslautern,Dortmund,1,1,D,0,0,D,15,17,3,6,14,16,6,2,1,0,0,1,-243,-461,1,-1,1,0
1415,12.02.2011,Schalke 04,Freiburg,1,0,H,0,0,D,20,3,7,1,7,22,12,0,2,2,0,0,-591,-647,0,0,0,0
1416,12.02.2011,St Pauli,M'gladbach,3,1,H,1,1,D,23,7,9,2,14,15,9,1,1,1,0,1,-232,-898,3,0,0,-3
1417,12.02.2011,Stuttgart,Nurnberg,1,4,A,1,2,A,10,20,5,10,10,21,3,7,3,1,0,0,-665,-653,1,-4,4,0
1418,12.02.2011,Wolfsburg,Hamburg,0,1,A,0,1,A,8,9,1,4,25,15,5,5,4,1,0,0,-664,-657,0,-1,0,0
1419,13.02.2011,FC Koln,Mainz,4,2,H,2,1,H,15,9,9,4,20,17,5,1,2,1,0,0,-694,-648,4,-2,2,-3
1420,13.02.2011,Werder Bremen,Hannover,1,1,D,0,1,A,13,6,5,4,18,21,11,3,0,3,0,0,-695,-609,1,-1,1,0
1421,16.02.2011,Hamburg,St Pauli,0,1,A,0,0,D,22,5,6,3,15,19,11,5,4,2,0,0,-658,-231,0,0,0,0
1422,18.02.2011,Nurnberg,Ein Frankfurt,3,0,H,0,0,D,16,3,7,1,13,21,8,1,2,2,0,0,-633,-721,3,0,0,-2
1423,19.02.2011,Dortmund,St Pauli,2,0,H,1,0,H,25,3,12,1,16,14,8,1,1,2,0,0,-429,-262,2,0,0,-1
1424,19.02.2011,Freiburg,Wolfsburg,2,1,H,1,1,D,14,18,5,8,14,12,7,9,3,0,0,0,-638,-674,1,-1,1,-1
1425,19.02.2011,Hamburg,Werder Bremen,4,0,H,1,0,H,14,8,6,2,21,19,6,3,3,3,0,0,-634,-719,3,0,0,-3
1426,19.02.2011,Hannover,Kaiserslautern,3,0,H,2,0,H,12,10,5,4,12,14,7,6,1,1,0,0,-557,-294,2,0,0,-2
1427,19.02.2011,Hoffenheim,FC Koln,1,1,D,0,0,D,17,8,4,2,20,21,4,1,2,5,0,0,-558,-690,0,0,0,-1
1428,19.02.2011,Mainz,Bayern Munich,1,3,A,0,1,A,18,19,7,9,18,13,4,11,2,1,0,0,-668,-4679,1,-2,3,0
1429,20.02.2011,Leverkusen,Stuttgart,4,2,H,2,1,H,18,11,7,4,11,12,6,4,1,2,0,0,-543,-677,3,-1,1,-4
1430,20.02.2011,M'gladbach,Schalke 04,2,1,H,2,1,H,13,4,7,1,19,17,3,0,0,0,0,0,-881,-608,2,-1,1,-1
1431,25.02.2011,Wolfsburg,M'gladbach,2,1,H,2,0,H,15,14,6,6,17,25,5,3,4,3,0,0,-669,-886,1,0,1,-1
1432,26.02.2011,Bayern Munich,Dortmund,1,3,A,1,2,A,14,16,4,5,10,11,10,4,2,3,0,0,-4679,-429,1,-2,3,0
1433,26.02.2011,FC Koln,Freiburg,1,0,H,0,0,D,22,12,6,1,12,20,8,5,2,3,0,0,-678,-649,0,0,0,-1
1434,26.02.2011,Hoffenheim,Mainz,1,2,A,0,1,A,13,10,4,7,18,23,6,4,1,0,0,0,-571,-655,0,-1,1,-1
1435,26.02.2011,Kaiserslautern,Hamburg,1,1,D,1,0,H,16,16,8,5,17,10,4,3,3,0,0,0,-302,-627,1,0,1,0
1436,26.02.2011,Schalke 04,Nurnberg,1,1,D,0,1,A,16,16,8,4,13,17,10,3,1,3,0,0,-609,-633,1,0,1,0
1437,26.02.2011,St Pauli,Hannover,0,1,A,0,0,D,7,8,1,5,20,21,3,5,0,2,0,0,-279,-540,0,0,1,0
1438,27.02.2011,Ein Frankfurt,Stuttgart,0,2,A,0,0,D,30,11,5,6,19,13,13,3,2,1,0,1,-730,-668,-1,-2,0,-1
1439,27.02.2011,Werder Bremen,Leverkusen,2,2,D,0,1,A,9,17,6,6,19,11,2,6,2,1,0,1,-715,-548,1,-1,2,-1
1440,04.03.2011,Dortmund,FC Koln,1,0,H,1,0,H,24,7,8,1,19,18,10,3,0,3,0,0,-425,-682,1,0,0,0
1441,05.03.2011,Ein Frankfurt,Kaiserslautern,0,0,D,0,0,D,6,9,0,2,10,22,2,5,4,3,0,0,-722,-310,0,0,0,0
1442,05.03.2011,Hannover,Bayern Munich,3,1,H,1,0,H,13,12,7,6,24,9,2,2,3,1,0,1,-540,-4679,2,0,1,-2
1443,05.03.2011,Leverkusen,Wolfsburg,3,0,H,3,0,H,14,9,9,1,19,15,7,2,0,4,0,0,-533,-684,3,0,0,-2
1444,05.03.2011,M'gladbach,Hoffenheim,2,0,H,0,0,D,13,9,6,0,17,30,8,4,1,4,0,0,-850,-607,1,0,0,-1
1445,05.03.2011,Nurnberg,St Pauli,5,0,H,3,0,H,20,4,7,1,17,16,4,1,1,3,0,0,-566,-346,5,0,1,-3
1446,05.03.2011,Stuttgart,Schalke 04,1,0,H,1,0,H,22,14,5,3,12,18,5,5,1,2,0,1,-656,-620,1,0,0,0
1447,06.03.2011,Freiburg,Werder Bremen,1,3,A,0,1,A,9,16,1,7,19,21,3,4,3,6,0,0,-661,-703,0,-2,2,-1
1448,06.03.2011,Hamburg,Mainz,2,4,A,1,0,H,8,12,4,6,17,15,4,5,2,2,0,0,-637,-644,1,-3,4,-1
1449,11.03.2011,FC Koln,Hannover,4,0,H,1,0,H,12,14,7,4,15,20,2,6,0,3,0,0,-641,-582,3,0,0,-3
1450,12.03.2011,Bayern Munich,Hamburg,6,0,H,1,0,H,17,10,8,3,11,12,4,4,2,1,0,0,-4745,-572,5,0,0,-5
1451,12.03.2011,Hoffenheim,Dortmund,1,0,H,0,0,D,11,16,4,3,21,15,2,5,2,1,0,0,-592,-440,1,0,0,0
1452,12.03.2011,Kaiserslautern,Freiburg,2,1,H,1,1,D,19,9,6,2,14,15,3,3,0,0,0,0,-308,-663,1,0,0,-2
1453,12.03.2011,Schalke 04,Ein Frankfurt,2,1,H,1,0,H,9,7,5,5,17,19,6,3,1,3,0,0,-613,-729,1,-1,1,-1
1454,12.03.2011,Werder Bremen,M'gladbach,1,1,D,1,0,H,18,12,5,3,12,9,9,7,3,0,0,0,-707,-846,1,0,1,0
1455,12.03.2011,Wolfsburg,Nurnberg,1,2,A,1,1,D,12,8,5,4,19,28,2,5,2,3,0,0,-691,-560,1,-1,2,0
1456,13.03.2011,Mainz,Leverkusen,0,1,A,0,0,D,5,14,1,3,25,15,6,4,3,3,0,0,-651,-526,1,0,1,0
1457,13.03.2011,St Pauli,Stuttgart,1,2,A,1,1,D,9,17,2,9,19,15,5,2,2,2,0,0,-363,-639,1,-2,2,0
1458,18.03.2011,M'gladbach,Kaiserslautern,0,1,A,0,0,D,8,13,4,3,15,20,4,3,2,0,0,0,-847,-307,0,0,0,0
1459,19.03.2011,Dortmund,Mainz,1,1,D,1,0,H,15,9,3,3,13,14,7,2,1,1,0,0,-446,-645,0,0,1,0
1460,19.03.2011,Ein Frankfurt,St Pauli,2,1,H,1,1,D,13,11,6,3,18,23,3,3,1,4,0,0,-711,-381,1,-1,0,-2
1461,19.03.2011,Freiburg,Bayern Munich,1,2,A,1,1,D,12,11,4,6,14,18,5,6,2,0,0,0,-683,-4725,1,-1,2,0
1462,19.03.2011,Hamburg,FC Koln,6,2,H,4,0,H,21,9,7,3,14,20,2,1,1,2,0,0,-550,-662,6,-2,3,-4
1463,19.03.2011,Hannover,Hoffenheim,2,0,H,1,0,H,9,12,3,2,14,21,4,4,0,1,0,0,-565,-609,2,0,0,-1
1464,19.03.2011,Nurnberg,Werder Bremen,1,3,A,1,1,D,8,8,4,6,18,19,3,7,3,3,1,0,-574,-693,1,-2,3,0
1465,20.03.2011,Leverkusen,Schalke 04,2,0,H,2,0,H,13,7,7,5,14,24,8,3,2,3,0,0,-513,-626,1,0,0,-1
1466,20.03.2011,Stuttgart,Wolfsburg,1,1,D,0,1,A,16,9,4,6,18,22,1,3,1,3,0,0,-641,-689,1,0,0,-1
1467,01.04.2011,St Pauli,Schalke 04,0,2,A,0,1,A,17,11,2,3,16,13,7,5,1,2,2,0,-397,-610,0,-2,1,0
1468,02.04.2011,Bayern Munich,M'gladbach,1,0,H,0,0,D,16,7,5,2,11,16,7,4,2,1,0,0,-4705,-867,1,0,0,0
1469,02.04.2011,Dortmund,Hannover,4,1,H,0,0,D,21,7,10,3,8,10,4,6,1,2,0,0,-431,-579,4,0,1,-3
1470,02.04.2011,Hoffenheim,Hamburg,0,0,D,0,0,D,16,6,3,2,18,12,4,5,2,1,0,0,-607,-552,0,1,0,0
1471,02.04.2011,Kaiserslautern,Leverkusen,0,1,A,0,0,D,6,9,1,5,22,15,3,1,1,2,0,0,-322,-498,0,0,1,0
1472,02.04.2011,Mainz,Freiburg,1,1,D,0,1,A,12,7,3,1,15,22,5,1,1,3,0,0,-647,-682,0,0,0,-1
1473,02.04.2011,Werder Bremen,Stuttgart,1,1,D,1,1,D,27,6,8,2,12,23,12,3,1,3,0,0,-691,-642,1,0,1,0
1474,03.04.2011,FC Koln,Nurnberg,1,0,H,0,0,D,15,12,3,4,27,23,3,5,2,2,0,0,-650,-586,1,0,0,-1
1475,03.04.2011,Wolfsburg,Ein Frankfurt,1,1,D,0,0,D,27,6,9,4,12,14,14,1,1,5,1,0,-690,-710,0,0,0,-1
1476,08.04.2011,Ein Frankfurt,Werder Bremen,1,1,D,0,0,D,14,19,8,6,25,21,8,6,3,3,0,0,-710,-692,1,0,1,0
1477,09.04.2011,Freiburg,Hoffenheim,3,2,H,1,2,A,14,15,5,9,12,20,6,4,1,5,1,0,-670,-619,3,-2,3,-1
1478,09.04.2011,Hamburg,Dortmund,1,1,D,1,0,H,8,15,4,7,21,13,2,4,0,1,1,0,-549,-434,0,0,0,-1
1479,09.04.2011,Hannover,Mainz,2,0,H,1,0,H,21,9,9,4,14,14,15,4,1,3,0,1,-566,-660,2,0,0,-1
1480,09.04.2011,Nurnberg,Bayern Munich,1,1,D,0,1,A,24,9,3,4,15,21,6,6,2,2,0,1,-596,-4695,0,-1,1,0
1481,09.04.2011,Schalke 04,Wolfsburg,1,0,H,0,0,D,13,6,4,1,16,17,5,5,1,3,0,0,-602,-698,1,0,0,0
1482,09.04.2011,Stuttgart,Kaiserslautern,2,4,A,2,1,H,8,15,3,5,20,18,4,4,1,2,0,0,-645,-319,2,-4,4,-1
1483,10.04.2011,Leverkusen,St Pauli,2,1,H,0,0,D,19,6,5,1,15,22,4,1,1,3,0,0,-485,-409,1,-1,0,-2
1484,10.04.2011,M'gladbach,FC Koln,5,1,H,3,0,H,19,8,10,4,13,19,4,6,1,2,0,0,-819,-698,4,0,2,-3
1485,15.04.2011,Mainz,M'gladbach,1,0,H,0,0,D,10,11,2,3,17,11,6,4,1,1,0,1,-655,-824,0,0,0,-1
1486,16.04.2011,FC Koln,Stuttgart,1,3,A,0,0,D,13,22,4,11,26,19,2,7,6,2,0,0,-706,-636,0,-3,2,-1
1487,16.04.2011,Hamburg,Hannover,0,0,D,0,0,D,11,15,3,6,12,19,7,4,1,3,0,0,-549,-565,0,0,0,0
1488,16.04.2011,Hoffenheim,Ein Frankfurt,1,0,H,0,0,D,16,13,4,5,20,9,3,8,3,3,0,0,-612,-717,1,0,0,0
1489,16.04.2011,Kaiserslautern,Nurnberg,0,2,A,0,1,A,10,12,2,7,17,13,0,6,1,2,0,0,-336,-579,0,-2,1,0
1490,16.04.2011,Werder Bremen,Schalke 04,1,1,D,0,0,D,15,14,5,6,12,24,8,3,0,3,0,0,-689,-605,1,0,1,0
1491,16.04.2011,Wolfsburg,St Pauli,2,2,D,1,0,H,9,19,3,8,14,12,4,7,2,2,0,0,-691,-416,1,-2,1,-2
1492,17.04.2011,Bayern Munich,Leverkusen,5,1,H,4,0,H,5,7,4,3,15,12,3,2,1,1,0,0,-4745,-435,5,0,2,-3
1493,17.04.2011,Dortmund,Freiburg,3,0,H,2,0,H,20,2,5,2,13,23,4,1,1,2,0,0,-425,-679,2,0,0,-2
1494,21.04.2011,Freiburg,Hannover,1,3,A,0,2,A,14,9,7,5,8,17,7,2,0,2,0,0,-685,-558,0,-3,3,0
1495,23.04.2011,Ein Frankfurt,Bayern Munich,1,1,D,0,0,D,8,18,2,9,13,15,0,9,4,3,0,0,-727,-4735,0,0,1,0
1496,23.04.2011,Leverkusen,Hoffenheim,2,1,H,1,1,D,15,9,4,3,14,16,7,2,0,1,0,0,-430,-617,2,-1,1,-1
1497,23.04.2011,M'gladbach,Dortmund,1,0,H,1,0,H,7,21,2,8,7,13,3,11,0,0,0,0,-806,-444,1,0,0,0
1498,23.04.2011,Schalke 04,Kaiserslautern,0,1,A,0,1,A,11,9,2,3,10,19,6,3,0,3,0,0,-608,-333,0,0,0,0
1499,23.04.2011,St Pauli,Werder Bremen,1,3,A,1,0,H,5,14,3,4,22,13,4,4,2,0,0,0,-433,-673,1,-3,3,0
1500,23.04.2011,Stuttgart,Hamburg,3,0,H,1,0,H,14,11,6,4,9,12,3,6,2,0,0,0,-606,-580,3,0,1,-1
1501,24.04.2011,Nurnberg,Mainz,0,0,D,0,0,D,11,10,2,1,15,14,5,1,5,3,0,0,-582,-652,0,0,0,0
1502,24.04.2011,Wolfsburg,FC Koln,4,1,H,2,1,H,18,14,9,4,18,17,7,2,0,0,0,0,-669,-729,3,-1,1,-3
1503,29.04.2011,Kaiserslautern,St Pauli,2,0,H,1,0,H,17,15,5,6,19,15,5,3,0,1,0,0,-320,-445,1,0,0,-2
1504,29.04.2011,Werder Bremen,Wolfsburg,0,1,A,0,1,A,14,10,4,2,11,22,9,5,2,4,0,0,-683,-659,0,0,0,0
1505,30.04.2011,Bayern Munich,Schalke 04,4,1,H,3,1,H,22,3,8,0,9,19,7,1,1,2,0,0,-4779,-564,4,-1,1,-3
1506,30.04.2011,Dortmund,Nurnberg,2,0,H,2,0,H,11,8,5,2,20,13,4,4,1,2,0,0,-433,-592,2,0,0,-1
1507,30.04.2011,FC Koln,Leverkusen,2,0,H,0,0,D,4,16,4,4,18,19,1,6,2,2,0,0,-694,-465,1,0,0,-1
1508,30.04.2011,Hamburg,Freiburg,0,2,A,0,1,A,16,9,5,5,26,14,4,1,3,1,0,0,-593,-673,0,-2,0,-1
1509,30.04.2011,Hannover,M'gladbach,0,1,A,0,0,D,10,15,2,4,9,9,7,2,2,0,0,0,-574,-790,0,0,1,0
1510,30.04.2011,Hoffenheim,Stuttgart,1,2,A,1,0,H,14,14,5,4,19,14,3,4,2,2,0,0,-627,-596,1,-1,2,0
1511,30.04.2011,Mainz,Ein Frankfurt,3,0,H,3,0,H,23,7,11,2,19,16,5,1,1,2,0,1,-635,-745,3,0,0,-2
1512,07.05.2011,Ein Frankfurt,FC Koln,0,2,A,0,1,A,11,10,0,7,10,18,2,3,3,3,0,0,-754,-685,0,-2,1,0
1513,07.05.2011,Leverkusen,Hamburg,1,1,D,0,1,A,13,11,3,5,13,20,5,3,1,3,0,0,-468,-589,0,-1,0,-1
1514,07.05.2011,M'gladbach,Freiburg,2,0,H,0,0,D,10,6,5,3,20,15,3,9,2,1,0,1,-765,-697,2,0,0,-1
1515,07.05.2011,Nurnberg,Hoffenheim,1,2,A,1,1,D,11,15,5,4,15,20,9,4,0,2,0,0,-603,-616,0,-2,1,-1
1516,07.05.2011,Schalke 04,Mainz,1,3,A,0,0,D,15,9,4,4,14,14,7,5,2,1,0,0,-576,-623,1,-3,3,0
1517,07.05.2011,St Pauli,Bayern Munich,1,8,A,0,2,A,12,17,5,10,15,15,3,8,3,2,0,0,-465,-4759,0,-7,7,-1
1518,07.05.2011,Stuttgart,Hannover,2,1,H,0,0,D,13,11,4,3,20,24,2,0,2,1,0,0,-585,-585,2,0,1,-1
1519,07.05.2011,Werder Bremen,Dortmund,2,0,H,1,0,H,11,12,4,2,11,9,2,10,2,0,0,0,-650,-466,2,0,0,-1
1520,07.05.2011,Wolfsburg,Kaiserslautern,1,2,A,1,2,A,21,3,3,2,18,22,10,3,0,1,0,0,-661,-318,1,-1,2,0
1521,14.05.2011,Bayern Munich,Stuttgart,2,1,H,1,1,D,10,10,5,5,17,21,6,4,2,2,0,0,-4739,-605,3,0,1,-1
1522,14.05.2011,Dortmund,Ein Frankfurt,3,1,H,0,0,D,18,9,11,3,9,10,7,4,1,2,0,1,-461,-759,2,-1,1,-2
1523,14.05.2011,FC Koln,Schalke 04,2,1,H,1,0,H,10,17,6,5,21,23,4,10,2,1,0,0,-672,-589,1,0,0,-2
1524,14.05.2011,Freiburg,Leverkusen,0,1,A,0,1,A,8,13,2,6,8,20,1,9,0,1,0,0,-702,-464,0,-1,0,0
1525,14.05.2011,Hamburg,M'gladbach,1,1,D,0,1,A,16,9,4,3,8,10,7,5,1,2,0,0,-594,-761,1,0,1,0
1526,14.05.2011,Hannover,Nurnberg,3,1,H,1,1,D,20,9,5,2,22,23,5,4,2,2,0,0,-568,-619,2,-1,1,-2
1527,14.05.2011,Hoffenheim,Wolfsburg,1,3,A,0,0,D,17,20,4,6,11,17,7,7,0,1,0,0,-627,-650,1,-2,2,-1
1528,14.05.2011,Kaiserslautern,Werder Bremen,3,2,H,3,1,H,12,17,4,7,14,10,4,8,0,2,0,0,-315,-653,3,-1,3,-1
1529,14.05.2011,Mainz,St Pauli,2,1,H,0,1,A,19,14,7,4,11,13,7,3,0,2,0,0,-608,-479,0,0,0,-3
1530,05.08.2011,Dortmund,Hamburg,3,1,H,2,0,H,16,8,5,3,12,18,7,7,1,3,0,0,-450,-604,3,-1,1,-2
1531,06.08.2011,Augsburg,Freiburg,2,2,D,0,0,D,11,9,7,4,17,25,5,4,2,4,0,0,-330,-694,2,-2,2,-1
1532,06.08.2011,FC Koln,Wolfsburg,0,3,A,0,1,A,7,17,1,8,15,22,7,5,0,5,1,0,-681,-641,0,-2,2,0
1533,06.08.2011,Hannover,Hoffenheim,2,1,H,2,1,H,7,12,4,5,14,20,4,5,2,2,0,0,-560,-636,1,-1,0,-2
1534,06.08.2011,Hertha,Nurnberg,0,1,A,0,0,D,4,13,0,7,25,27,2,3,2,3,0,0,-757,-613,0,-1,0,0
1535,06.08.2011,Stuttgart,Schalke 04,3,0,H,1,0,H,12,15,6,9,13,19,2,6,1,1,0,0,-581,-614,2,0,0,-2
1536,06.08.2011,Werder Bremen,Kaiserslautern,2,0,H,0,0,D,19,9,5,3,14,27,6,5,1,2,0,0,-616,-352,2,0,0,-1
1537,07.08.2011,Bayern Munich,M'gladbach,0,1,A,0,0,D,19,7,7,3,11,11,12,2,0,1,0,0,-4739,-761,0,0,1,0
1538,07.08.2011,Mainz,Leverkusen,2,0,H,1,0,H,22,9,8,2,20,19,7,3,3,1,0,0,-582,-491,2,0,0,-1
1539,13.08.2011,Freiburg,Mainz,1,2,A,0,0,D,18,9,7,4,11,18,4,6,0,2,0,0,-701,-575,1,-1,2,0
1540,13.08.2011,Hamburg,Hertha,2,2,D,1,1,D,9,24,4,6,13,10,5,6,3,3,0,0,-608,-753,2,-2,2,-1
1541,13.08.2011,Hoffenheim,Dortmund,1,0,H,1,0,H,13,15,3,4,13,11,5,6,4,1,0,0,-621,-465,0,0,0,-1
1542,13.08.2011,M'gladbach,Stuttgart,1,1,D,0,0,D,10,15,3,7,9,9,2,5,2,2,1,0,-756,-585,1,0,1,0
1543,13.08.2011,Nurnberg,Hannover,1,2,A,0,2,A,13,4,5,3,16,19,8,6,2,3,0,0,-622,-552,0,-1,1,-1
1544,13.08.2011,Schalke 04,FC Koln,5,1,H,1,1,D,18,6,5,2,17,16,7,2,0,3,0,0,-592,-703,4,-1,1,-4
1545,13.08.2011,Wolfsburg,Bayern Munich,0,1,A,0,0,D,7,11,1,3,14,15,9,8,0,3,0,0,-661,-4719,0,0,0,0
1546,14.08.2011,Kaiserslautern,Augsburg,1,1,D,0,1,A,17,13,7,4,21,11,8,1,4,1,0,0,-352,-331,0,0,0,-1
1547,14.08.2011,Leverkusen,Werder Bremen,1,0,H,0,0,D,16,9,6,1,18,18,7,1,1,2,0,0,-484,-622,1,0,0,0
1548,19.08.2011,M'gladbach,Wolfsburg,4,1,H,3,1,H,21,7,9,3,13,18,8,6,1,2,0,0,-724,-692,4,0,1,-3
1549,20.08.2011,Augsburg,Hoffenheim,0,2,A,0,1,A,12,17,4,5,18,18,4,2,1,1,0,0,-348,-604,0,-2,2,0
1550,20.08.2011,Bayern Munich,Hamburg,5,0,H,3,0,H,24,4,13,1,12,16,5,3,2,4,0,0,-4777,-550,4,0,0,-4
1551,20.08.2011,Dortmund,Nurnberg,2,0,H,0,0,D,12,10,5,3,13,13,5,5,0,2,0,0,-456,-631,1,0,0,-2
1552,20.08.2011,FC Koln,Kaiserslautern,1,1,D,1,1,D,10,8,5,3,16,22,7,5,3,4,0,0,-695,-360,1,-2,1,0
1553,20.08.2011,Stuttgart,Leverkusen,0,1,A,0,1,A,11,11,0,3,18,16,5,4,1,0,1,0,-592,-477,0,0,1,0
1554,20.08.2011,Werder Bremen,Freiburg,5,3,H,2,1,H,26,11,8,7,17,29,12,1,1,4,0,0,-609,-714,4,-2,3,-4
1555,21.08.2011,Hannover,Hertha,1,1,D,1,0,H,14,10,6,4,20,20,3,6,1,6,0,0,-557,-748,1,0,0,-1
1556,21.08.2011,Mainz,Schalke 04,2,4,A,2,0,H,15,12,5,6,15,15,6,5,0,2,0,0,-585,-582,2,-3,4,-1
1557,26.08.2011,Hertha,Stuttgart,1,0,H,0,0,D,16,22,5,5,10,13,4,3,0,1,0,0,-733,-607,0,0,0,0
1558,27.08.2011,Freiburg,Wolfsburg,3,0,H,2,0,H,15,14,4,4,12,21,4,6,0,2,0,0,-689,-717,3,0,0,-3
1559,27.08.2011,Hamburg,FC Koln,3,4,A,1,1,D,15,7,6,5,18,21,5,4,1,3,0,0,-564,-681,2,-4,4,-2
1560,27.08.2011,Hoffenheim,Werder Bremen,1,2,A,1,1,D,15,9,4,4,16,12,3,6,0,1,0,0,-614,-599,0,0,1,-1
1561,27.08.2011,Kaiserslautern,Bayern Munich,0,3,A,0,1,A,4,17,1,12,14,17,1,2,3,1,1,0,-380,-4757,0,-2,3,0
1562,27.08.2011,Leverkusen,Dortmund,0,0,D,0,0,D,16,13,6,4,11,13,5,3,2,1,1,1,-476,-456,0,0,0,0
1563,27.08.2011,Nurnberg,Augsburg,1,0,H,0,0,D,15,12,6,2,12,17,4,3,4,2,0,0,-614,-364,0,0,0,-1
1564,28.08.2011,Hannover,Mainz,1,1,D,1,1,D,19,9,8,2,15,24,8,9,2,0,0,0,-558,-585,0,0,0,-1
1565,28.08.2011,Schalke 04,M'gladbach,1,0,H,0,0,D,22,12,9,5,11,13,8,6,2,3,0,0,-576,-731,1,0,0,0
1566,09.09.2011,Augsburg,Leverkusen,1,4,A,1,2,A,17,17,4,9,14,9,4,2,1,3,0,0,-378,-463,1,-4,4,0
1567,10.09.2011,Bayern Munich,Freiburg,7,0,H,3,0,H,25,3,12,1,8,8,12,0,0,0,0,0,-4826,-619,7,0,1,-5
1568,10.09.2011,Dortmund,Hertha,1,2,A,0,0,D,25,11,6,6,13,7,4,1,1,3,0,0,-473,-717,0,-1,2,0
